i,time_bubble,time_merge
1010,32,0
1020,17,0
1030,7,9
1040,0,0
1050,0,16
1060,0,0
1070,11,1
1080,0,0
1090,0,0
1100,17,0
1110,10,5
1120,3,0
1130,0,15
1140,1,5
1150,0,0
1160,10,0
1170,0,0
1180,20,0
1190,0,0
1200,16,0
1210,0,19
1220,8,5
1230,8,0
1240,0,0
1250,14,0
1260,10,0
1270,0,0
1280,17,0
1290,0,15
1300,0,0
1310,16,0
1320,0,17
1330,0,10
1340,0,0
1350,16,0
1360,9,0
1370,0,17
1380,0,0
1390,0,0
1400,16,0
1410,16,0
1420,4,0
1430,6,0
1440,0,17
1450,0,0
1460,15,0
1470,0,0
1480,20,2
1490,7,0
1500,0,0
1510,15,0
1520,0,0
1530,16,0
1540,16,0
1550,0,16
1560,7,0
1570,9,0
1580,0,0
1590,16,0
1600,16,0
1610,0,0
1620,16,0
1630,15,0
1640,0,0
1650,16,0
1660,13,4
1670,19,0
1680,17,0
1690,16,15
1700,30,2
1710,16,0
1720,16,0
1730,16,0
1740,31,0
1750,18,0
1760,20,0
1770,9,0
1780,16,0
1790,32,0
1800,23,0
1810,8,0
1820,16,1
1830,16,0
1840,25,0
1850,16,0
1860,0,0
1870,18,0
1880,13,0
1890,16,0
1900,16,0
1910,0,0
1920,15,0
1930,16,0
1940,32,0
1950,15,0
1960,16,0
1970,16,0
1980,16,0
1990,16,0
2000,16,0
2010,15,0
2020,16,0
2030,23,0
2040,9,17
2050,0,17
2060,14,0
2070,19,0
2080,16,0
2090,16,0
2100,15,0
2110,21,0
2120,27,0
2130,33,16
2140,23,8
2150,0,19
2160,16,0
2170,31,16
2180,17,0
2190,16,0
2200,15,0
2210,16,15
2220,16,0
2230,32,0
2240,15,0
2250,16,13
2260,16,0
2270,32,0
2280,31,0
2290,16,0
2300,45,0
2310,16,0
2320,15,0
2330,16,0
2340,32,0
2350,31,16
2360,16,0
2370,31,0
2380,31,0
2390,16,0
2400,16,16
2410,16,0
2420,31,11
2430,32,0
2440,57,0
2450,32,0
2460,15,0
2470,29,0
2480,15,8
2490,8,18
2500,32,0
2510,42,5
2520,16,0
2530,16,0
2540,16,0
2550,33,0
2560,30,0
2570,31,2
2580,47,15
2590,32,0
2600,31,0
2610,32,0
2620,16,0
2630,31,0
2640,34,0
2650,29,17
2660,32,0
2670,31,0
2680,32,0
2690,15,0
2700,48,0
2710,39,0
2720,39,18
2730,15,16
2740,32,0
2750,37,10
2760,32,0
2770,32,0
2780,33,0
2790,32,0
2800,31,0
2810,48,0
2820,47,0
2830,35,0
2840,28,0
2850,31,0
2860,32,0
2870,17,18
2880,31,0
2890,44,4
2900,32,0
2910,32,16
2920,16,0
2930,31,0
2940,31,0
2950,64,0
2960,47,0
2970,33,0
2980,40,16
2990,31,0
3000,33,0
